index,id,filename,width,height,file_size_mb,mode,has_alpha,status,candidate_screens,notes
1,idx01,hf_20260702_224948_1e77aa72-7f08-4b39-82ae-6ad206510300.png,1856,2304,4.84,RGB,False,rejected_checkerboard_from_shortlist,onboarding/01-logo--rejected-checkerboard,"Estaba en shortlist, pero se rechaza como final por checkerboard horneado y alpha real ausente."
2,idx02,hf_20260702_224950_9e7967ea-01d5-4658-b1ea-bdc0956fc827.png,1856,2304,4.35,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
3,idx03,hf_20260702_225005_18a2036f-3b10-4ddf-a410-c52999491408.png,1856,2304,6.0,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
4,idx04,hf_20260702_225008_7f6c3049-8fc0-481c-b0e6-4d6b3e67f950.png,1856,2304,6.47,RGB,False,selected_candidate,onboarding/01-logo; onboarding/02-benefits-lunar,Candidato inicial mapeado a pantalla/uso.
5,idx05,hf_20260702_225159_7f519c81-4acc-421e-a78f-0d5399a806c2.png,1856,2304,4.84,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
6,idx06,hf_20260702_225203_1a31a49f-a36f-4e4b-9197-d500823d133a.png,1856,2304,5.28,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
7,idx07,hf_20260702_225207_797c4691-354f-4b92-9755-7f09eac98d1a.png,1856,2304,5.92,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
8,idx08,hf_20260702_225209_593e0ef0-0d61-4362-ba6e-ae8ddef9054a.png,1856,2304,5.93,RGB,False,selected_candidate,onboarding/01-logo; onboarding/02-benefits-lunar,Candidato inicial mapeado a pantalla/uso.
9,idx09,hf_20260702_225245_cab2acf8-2a5f-4bb3-be66-ea3244ed4820.png,1856,2304,7.24,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
10,idx10,hf_20260702_225247_a7db146b-5d87-4406-84d9-a5fb482a91c5.png,1856,2304,5.68,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
11,idx11,hf_20260702_225254_2be3acd4-4bfb-4124-a656-4ef26905a887.png,1856,2304,6.9,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
12,idx12,hf_20260702_225255_da9f6a12-c374-4b3e-9003-8d9397026fec.png,1856,2304,5.47,RGB,False,selected_candidate,onboarding/01-logo,Candidato inicial mapeado a pantalla/uso.
13,idx13,hf_20260702_225416_a048cbb6-26ad-415b-a5f1-bfa58396c318.png,1856,2304,5.43,RGB,False,selected_candidate,onboarding/02-benefits-decisiones,Candidato inicial mapeado a pantalla/uso.
14,idx14,hf_20260702_225420_ee0f7ce7-73d0-4629-bd6a-491e5fdc1cd0.png,1856,2304,5.37,RGB,False,selected_candidate,onboarding/02-benefits-decisiones,Candidato inicial mapeado a pantalla/uso.
15,idx15,hf_20260702_225443_10d3fcaa-af2d-47f4-b620-2f750449569f.png,1856,2304,5.85,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
16,idx16,hf_20260702_225449_a29a1189-5c24-4128-b62f-c16f830c8336.png,1856,2304,4.1,RGB,False,selected_candidate,onboarding/02-benefits-decisiones,Candidato inicial mapeado a pantalla/uso.
17,idx17,hf_20260702_225511_39f5f5ed-90a0-4fda-a4a2-8bcf9cf7ff88.png,1856,2304,4.99,RGB,False,selected_candidate,onboarding/02-benefits-practica,Candidato inicial mapeado a pantalla/uso.
18,idx18,hf_20260702_225513_7de57794-9c7d-48cf-ac25-ee2d542c9518.png,1856,2304,5.45,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
19,idx19,hf_20260702_225523_af2677b3-896d-4d96-8c46-21ef285f40af.png,1856,2304,4.93,RGB,False,unclassified_review_later,,No entra en descarte obvio ni shortlist fuerte; revisar solo si faltan alternativas.
20,idx20,hf_20260702_225528_b4b0e9a4-6331-4029-991c-731eba94f2d1.png,1856,2304,6.59,RGB,False,selected_candidate,onboarding/04-daily-guidance-bases,Candidato inicial mapeado a pantalla/uso.
21,idx21,hf_20260702_225555_907f7e2d-37b6-468c-b34a-5226d805d011.png,1856,2304,4.87,RGB,False,selected_candidate,onboarding/03-identify-backgrounds; onboarding/04-daily-guidance-bases,Candidato inicial mapeado a pantalla/uso.
22,idx22,hf_20260702_225600_28fa337f-fc29-450f-90bb-45d1d3fbab8e.png,1856,2304,6.13,RGB,False,selected_candidate,onboarding/02-benefits-guia; onboarding/03-identify-backgrounds; onboarding/04-daily-guidance-bases,Candidato inicial mapeado a pantalla/uso.
23,idx23,hf_20260702_225611_6091a9d6-8080-469d-9209-593a16a8c538.png,1856,2304,6.35,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
24,idx24,hf_20260702_225614_57f6a120-5557-43f6-a9a6-5edabc8ab2d5.png,1856,2304,7.25,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
25,idx25,hf_20260702_225640_ffc0912d-4e9a-4806-9465-71876370fb9f.png,1856,2304,4.4,RGB,False,rejected_obvious,,Descarte inicial por criterio visual: texto/UI/marco/mockup/zodiac/checkerboard o baja integracion.
